	A21	A22	AC1	AC2	AC3	A23
NM_002033	30	70	1403	3329	1786	14
NM_001190462	19	5	4	21	9	3
NM_016403	2077	1884	2218	2959	3115	1694
NM_001161630	0	0	0	0	0	0
NM_018039	1487	1184	1295	1379	2295	1363
NR_110303	232	191	396	1093	78	123
NR_103726	1231	1688	3260	6043	5689	1880
NM_032102	1231	1688	3260	6043	5689	1880
NM_015036	1104	1335	2233	3191	2522	735
NM_001271594	2155	2172	216	321	255	1575
NR_110295	398	612	94	58	51	335
NM_144665	2066	2074	156	318	242	1510
NM_144664	3378	3222	3823	5760	5277	3290
NM_201281	3656	5874	5158	3018	7007	5294
NM_201278	3656	5874	5158	3018	7007	5294
NM_016156	3656	5874	5158	3018	7007	5294
NM_001243571	3656	5874	5158	3018	7007	5294
NR_036125	0	0	0	0	0	0
NM_003772	813	682	1421	1488	2301	795
NM_024725	1328	1195	1955	1470	1776	1105
NM_001261833	813	682	1421	1488	2301	795
NM_032021	1	22	0	0	1	0
NR_073144	14	6	18	48	15	5
NR_037485	0	0	0	0	0	0
NM_178127	125	302	479	1222	668	287
NM_001195005	1019	1150	1349	2867	2336	1108
NM_032930	1039	1153	1353	2916	2350	1181
NM_001195045	10853	14157	16874	12520	21427	12306
NM_001195044	12346	15406	19163	16755	24088	13739
NM_001282097	12346	15406	19163	16755	24088	13739
NM_001282101	12346	15406	19163	16755	24088	13739
NM_006106	12346	15406	19163	16755	24088	13739
NM_001130145	12346	15406	19163	16755	24088	13739
NM_001282099	12346	15406	19163	16755	24088	13739
NM_001282098	12346	15406	19163	16755	24088	13739
NM_001282100	12346	15406	19163	16755	24088	13739
NM_182962	10	62	412	199	108	14
NM_001165	10	62	412	199	108	14
NM_052932	3446	4359	8966	9140	11503	3572
NM_004771	80	6	129	168	85	21
NM_002423	1	0	0	0	0	2
NM_002424	1	1	67	3	2	6
NM_022122	3	0	4	14	64	0
NM_001304442	1	1	67	3	2	6
NM_001304441	1	1	67	3	2	6
